,nAsian,pAsian,nBlack,pBlack,nHispanic,pHispanic,nNative,pNative,nTwoMore,pTwoMore,nUnknown,pUnknown,nWhite,pWhite,nIntl,pIntl,nTotal,Notes
1996,660,0.175345377,316,0.083953241,286,0.075982997,12,0.003188098,94,0.024973433,516,0.137088204,1880,0.49946865,NA,NA,3764,"Unknown includes NRA; ""Other"" counted as ""two or more"""
1997,612,0.162852581,333,0.088610963,281,0.074773816,16,0.004257584,112,0.029803087,369,0.098190527,1918,0.510377861,151,0.040180947,"3,758","""Other"" counted as ""two or more"""
1998,660,0.171964565,347,0.090411673,279,0.072694112,12,0.003126628,149,0.038822303,421,0.109692548,"1,970",0.513288171,NA,NA,3838,"Includes international students (about 200); ""Other"" counted as ""two or more"""
1999,628.64,0.16,392.9,0.1,314.32,0.08,9.8225,0.0025,157.16,0.04,471.48,0.12,2003.79,0.51,NA,NA,"3,929","Includes international students (369); ""Other"" includes bi- or multi-racial and is counted as ""two or more""; only percents given (not numbers - numbers don't add up)"
2000,623,0.15455222,366,0.090796328,304,0.07541553,7,0.001736542,177,0.0439097,445,0.110394443,2109,0.523195237,NA,NA,4031,"Includes international students; ""Other/Bi- or multi-racial"" counted as ""two or more"""
2001,452,0.110002434,343,0.083475298,297,0.07228036,10,0.002433682,138,0.033584814,410,0.099780969,2099,0.510829886,360,0.087612558,4109,"""Other/Bi- or multi-racial"" counted as ""two or more"""
2002,504,0.121709732,356,0.085969573,314,0.075827095,10,0.002414876,156,0.03767206,408,0.098526926,2175,0.52523545,218,0.052644289,4141,"""Other"" counted as ""two or more"""
2003,511,0.122015282,352,0.084049666,320,0.076408787,11,0.002626552,161,0.038443171,421,0.10052531,2173,0.518863419,239,0.057067813,4188,"""Other"" counted as ""two or more"""
2004,500,0.120656371,365,0.088079151,329,0.079391892,13,0.003137066,176,0.042471042,418,0.100868726,2107,0.508445946,236,0.056949807,4144,"""Other"" counted as ""two or more"""
2005,551,0.130445076,381,0.090198864,361,0.085464015,15,0.003551136,187,0.044270833,416,0.098484848,2070,0.490056818,243,0.057528409,4224,"""Other"" counted as ""two or more"""
2006,563,0.133665717,405,0.096153846,429,0.101851852,28,0.006647673,188,0.044634378,384,0.091168091,1949,0.462725546,266,0.063152896,4212,"""Other"" counted as ""two or more"""
2007,566,0.134218639,438,0.103865307,458,0.108608015,39,0.009248281,165,0.039127342,342,0.081100308,1893,0.44889732,316,0.074934788,4217,"""Other"" counted as ""two or more"""
2008,585,0.13774429,473,0.111372734,507,0.119378385,42,0.009889334,158,0.037202731,340,0.08005651,1796,0.422886744,346,0.081469272,4247,"""Other"" counted as ""two or more"""
2009,582,0.132998172,513,0.117230347,584,0.13345521,50,0.01142596,138,0.031535649,377,0.086151737,"1,731",0.395566728,401,0.091636197,"4,376","""Other"" counted as ""two or more"""
2010,587,0.131143878,435,0.097184987,662,0.147899911,40,0.00893655,198,0.044235925,202,0.04512958,"1,893",0.422922252,459,0.102546917,"4,476","Count listed as 4475; Native Hawaiian included in ""Native"""
2011,605,0.132967033,426,0.093626374,695,0.152747253,36,0.007912088,224,0.049230769,206,0.045274725,"1,879",0.412967033,479,0.105274725,"4,550","Native Hawaiian included in ""Native"""
2012,658,0.143448877,438,0.095487247,728,0.158709396,34,0.007412252,228,0.04970569,152,0.033137127,"1,841",0.401351646,508,0.110747765,"4,587","Native Hawaiian included in ""Native"""
2013,746,0.162421076,411,0.089483997,676,0.147180492,39,0.008491182,254,0.055301546,130,0.028303941,"1,789",0.38950577,548,0.119311997,"4,593","Native Hawaiian included in ""Native"""
2014,800,0.171784411,412,0.088468971,661,0.141936869,33,0.007086107,279,0.059909813,104,0.022331973,"1,788",0.383938158,580,0.124543698,"4,657","Native Hawaiian included in ""Native"""
2015,808,0.174627188,411,0.088826453,655,0.141560406,31,0.006699805,291,0.062891722,76,0.01642533,1723,0.372379512,632,0.136589583,"4,627","Native Hawaiian included in ""Native"""
2016,828,0.178294574,397,0.085486649,644,0.138673557,28,0.006029285,299,0.064384152,72,0.015503876,1715,0.369293712,661,0.142334195,"4,644","Native Hawaiian included in ""Native"""
2017,809,0.173344761,406,0.086993786,638,0.136704521,29,0.006213842,310,0.066423827,67,0.014356117,1716,0.367688022,692,0.148275123,"4,667","Native Hawaiian included in ""Native"""
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
